YEAR,Type,Neighbourhood,Total Construction Value,Additions,Interior/ Exterior Alterations,Secondary Suites,New Units,Demolished Units,Net Units,Number of Permits
2000,Single Family,Abbottsfield,0,0,0,0,0,0,0,0
2000,Single Family,Alberta Avenue,305701,3,3,0,2,-10,-8,41
2000,Single Family,Allendale,164852,2,1,0,1,-1,0,13
2000,Single Family,Argyll,18416,1,0,0,0,0,0,2
2000,Single Family,Aspen Gardens,70500,2,0,0,0,0,0,5
2000,Single Family,Athlone,5213912,2,0,0,82,0,82,106
2000,Single Family,Avonmore,79794,5,0,0,0,0,0,12
2000,Single Family,Balwin,35401,1,2,0,0,0,0,8
2000,Single Family,Beacon Heights,73700,1,2,0,0,-1,-1,13
2000,Single Family,Belgravia,226601,9,0,0,0,0,0,17
2000,Single Family,Bellevue,12176,1,0,0,0,0,0,3
2000,Single Family,Belvedere,95342,1,0,0,0,0,0,9
2000,Single Family,Bergman,322731,2,0,0,2,0,2,10
2000,Single Family,Beverly Heights,55805,2,0,0,0,0,0,10
2000,Single Family,Bonnie Doon,617574,5,3,0,3,-11,-8,36
2000,Single Family,Boyle Street,116711,1,0,0,1,-9,-8,13
2000,Single Family,Britannia Youngstown,115911,3,0,0,1,-1,0,11
2000,Single Family,Calder,321835,4,1,0,2,-1,1,23
2000,Single Family,Canora,134584,3,0,0,1,-2,-1,14
2000,Single Family,Capilano,606400,8,2,0,0,0,0,20
2000,Single Family,Central McDougall,132398,1,1,0,1,0,1,3
2000,Single Family,Cloverdale,219587,0,0,0,1,-4,-3,10
2000,Single Family,Crestwood,819547,8,3,0,3,-4,-1,29
2000,Single Family,Cromdale,229694,1,0,0,2,-1,1,8
2000,Single Family,Delton,102864,2,1,0,1,-2,-1,15
2000,Single Family,Delwood,46061,1,1,0,0,0,0,6
2000,Single Family,Dovercourt,102691,2,1,0,0,0,0,17
2000,Single Family,Downtown,4350,0,0,0,0,-1,-1,1
2000,Single Family,Duggan,53020,2,2,0,0,0,0,8
2000,Single Family,Eastwood,126852,0,1,0,1,-2,-1,16
2000,Single Family,Elmwood,110177,5,1,0,0,0,0,10
2000,Single Family,Elmwood Park,11610,0,0,0,0,0,0,2
2000,Single Family,Empire Park,0,0,0,0,0,0,0,0
2000,Single Family,Evansdale,52819,5,0,0,0,0,0,18
2000,Single Family,Forest Heights,588651,6,2,0,3,-2,1,30
2000,Single Family,Fulton Place,136560,7,2,0,0,0,0,13
2000,Single Family,Garneau,412186,2,5,0,1,-2,-1,17
2000,Single Family,Glengarry,40080,2,0,0,0,0,0,9
2000,Single Family,Glenora,1654379,23,4,0,2,-3,-1,53
2000,Single Family,Glenwood,441785,4,2,0,3,-6,-3,24
2000,Single Family,Gold Bar,264000,4,2,0,0,0,0,17
2000,Single Family,Grandview Heights,94381,1,0,0,0,0,0,4
